danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,duration_ms,song_title,artist_name
0.813,0.406,9,-12.626,1,0.0662,0.0203,0.392,0.0757,0.755,122.658,https://api.spotify.com/v1/tracks/2KufM8PiQY4i52XhRL96Fd,292373,Champagne Coast,Blood Orange
0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388,https://api.spotify.com/v1/tracks/7o9uu2GDtVDr9nsR7ZRN73,241333,Time After Time,Cyndi Lauper
0.434,0.885,4,-7.367,1,0.0396,0.204,0.0,0.0811,0.843,93.999,https://api.spotify.com/v1/tracks/46MX86XQqYCZRvwPpeq4Gi,235173,Lake Shore Drive,Aliotta Haynes Jeremiah
0.833,0.672,9,-5.899,1,0.0545,0.463,0.0,0.131,0.558,110.102,https://api.spotify.com/v1/tracks/2NjepWsgyVUNZY2MtZSwKw,195000,Bitter,Worn-Tin
0.538,0.6,10,-10.241,1,0.0302,0.429,0.0562,0.117,0.499,169.931,https://api.spotify.com/v1/tracks/6VLjdregMReJhKp2r32IWo,163765,Natural,Shelly
0.795,0.596,11,-3.799,0,0.219,0.103,0.0,0.164,0.357,101.985,https://api.spotify.com/v1/tracks/6vt0I1cw1YmAIKDJvHVIM5,326280,Suit & Tie (feat. Jay-Z),Justin Timberlake
0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,https://api.spotify.com/v1/tracks/4D7BCuvgdJlYvlX5WlN54t,194207,"You're On Your Own, Kid",Taylor Swift
0.814,0.789,11,-6.29,1,0.0405,0.365,0.000502,0.137,0.842,107.003,https://api.spotify.com/v1/tracks/3BnDvpeuGOj21Ir2aVEtQo,219669,Calm Down,Rema
0.571,0.952,1,-1.893,0,0.0786,0.0186,0.0,0.0763,0.405,119.951,https://api.spotify.com/v1/tracks/1uhV7Y0juwdLAsAkSproCg,167467,Break It Out,The Rocket Summer
0.713,0.686,7,-9.894,1,0.329,0.159,0.344,0.241,0.409,117.99,https://api.spotify.com/v1/tracks/2Ug0yCvg19wxkpwALYWzHi,196708,Alone in the Mountains,Goth Babe
0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,https://api.spotify.com/v1/tracks/6AGOKlMZWLCaEJGnaROtF9,210463,Put Your Records On,Ritt Momney
0.435,0.526,8,-8.621,1,0.0445,0.0111,1.83e-05,0.173,0.544,95.925,https://api.spotify.com/v1/tracks/4r3Er3AOnUXFZY34F7tet8,307478,Out of Tune,The Backseat Lovers
0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P,197933,I Took A Pill In Ibiza - Seeb Remix,Mike Posner
0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,https://api.spotify.com/v1/tracks/5IAESfJjmOYu7cHyX557kz,229953,Take Two,BTS
